lon,lat,HGT surface d=2019080707 anl
276.411117,32.929511,0
276.437966,32.927607,0
276.464815,32.925699,0
276.491662,32.923787,0
276.518509,32.921870,0
276.545354,32.919948,0
276.572199,32.918022,0
276.599043,32.916092,0
276.625885,32.914157,0
276.652727,32.912218,0
276.679568,32.910274,0
276.706409,32.908326,0
276.733248,32.906373,0
276.760086,32.904416,0
276.786923,32.902454,0
276.813760,32.900488,0
276.840595,32.898517,0
276.867430,32.896542,0
276.894264,32.894562,0
276.921096,32.892578,0
276.947928,32.890590,0
276.974759,32.888597,0
277.001589,32.886599,0
277.028418,32.884598,0
277.055246,32.882591,0
277.082073,32.880580,0
277.108899,32.878565,0
277.135724,32.876545,0
277.162548,32.874521,0
277.189371,32.872492,0
277.216194,32.870459,0
277.243015,32.868421,0
277.269835,32.866379,0
277.296655,32.864333,0
277.323473,32.862282,0
277.350291,32.860226,0
277.377107,32.858166,0
277.403923,32.856102,0
277.430737,32.854033,0
277.457551,32.851959,0
277.484364,32.849881,0
277.511175,32.847799,0
277.537986,32.845712,0
277.564796,32.843621,0
277.591604,32.841525,0
277.618412,32.839425,0
277.645219,32.837321,0
277.672024,32.835211,0
277.698829,32.833098,0
277.725633,32.830980,0
277.752435,32.828857,0
277.779237,32.826730,0
277.806038,32.824599,0
277.832838,32.822463,0
277.859636,32.820323,0
277.886434,32.818178,0
277.913231,32.816029,0
277.940026,32.813875,0
277.966821,32.811717,0
277.993615,32.809554,0
278.020407,32.807387,0
278.047199,32.805215,0
278.073990,32.803039,0
278.100779,32.800859,0
278.127568,32.798674,0
278.154355,32.796484,0
278.181142,32.794290,0
278.207927,32.792092,0
278.234712,32.789889,0
278.261495,32.787682,0
278.288277,32.785470,0
278.315059,32.783254,0
278.341839,32.781033,0
278.368618,32.778808,0
278.395396,32.776579,0
278.422173,32.774345,0
278.448949,32.772106,0
278.475724,32.769863,0
278.502498,32.767616,0
278.529271,32.765364,0
278.556043,32.763108,0
278.582814,32.760847,0
278.609584,32.758582,0
278.636352,32.756312,0
278.663120,32.754038,0
278.689886,32.751759,0
278.716652,32.749476,0
278.743416,32.747188,0
278.770179,32.744896,0
278.796942,32.742600,0
278.823703,32.740299,0
278.850463,32.737994,0
278.877222,32.735684,0
278.903980,32.733370,0
278.930737,32.731051,0
278.957492,32.728728,0
278.984247,32.726400,0
279.011001,32.724068,0
279.037753,32.721732,0
279.064504,32.719391,0
279.091255,32.717045,0
279.118004,32.714695,0
279.144752,32.712341,0
279.171499,32.709982,0
279.198245,32.707619,0
279.224989,32.705251,0
279.251733,32.702879,0
279.278475,32.700502,0
279.305217,32.698121,0
279.331957,32.695736,0
279.358696,32.693346,0
279.385434,32.690951,0
279.412171,32.688552,0
279.438907,32.686149,0
279.465641,32.683741,0
279.492375,32.681329,0
279.519107,32.678912,0
279.545839,32.676491,0
279.572569,32.674066,0
279.599298,32.671635,0
279.626026,32.669201,0
279.652752,32.666762,0
279.679478,32.664319,0
279.706202,32.661871,0
279.732926,32.659418,0
279.759648,32.656962,0
279.786369,32.654501,0
279.813088,32.652035,0
279.839807,32.649565,0
279.866525,32.647090,0
279.893241,32.644611,0
279.919956,32.642128,0
279.946670,32.639640,0
279.973383,32.637148,0
280.000095,32.634651,0
280.026805,32.632150,0
280.053514,32.629644,0
280.080223,32.627134,0
280.106930,32.624619,0
280.133635,32.622100,0
280.160340,32.619577,0
280.187044,32.617049,0
280.213746,32.614517,0
280.240447,32.611980,0
280.267147,32.609439,0
280.293845,32.606893,0
280.320543,32.604343,0
280.347239,32.601788,0
280.373934,32.599229,0
280.400628,32.596666,0
280.427321,32.594098,0
280.454013,32.591526,0
280.480703,32.588949,0
280.507392,32.586368,0
280.534080,32.583782,0
280.560767,32.581192,0
280.587452,32.578597,0
280.614136,32.575998,0
280.640820,32.573395,0
280.667501,32.570787,0
280.694182,32.568175,0
280.720861,32.565558,0
280.747540,32.562937,0
280.774217,32.560311,0
280.800892,32.557681,0
280.827567,32.555046,0
280.854240,32.552407,0
280.880912,32.549764,0
280.907583,32.547116,0
280.934253,32.544464,0
280.960921,32.541807,0
280.987588,32.539146,0
281.014254,32.536480,0
281.040918,32.533810,0
281.067582,32.531136,0
281.094244,32.528457,0
281.120905,32.525773,0
281.147564,32.523086,0
281.174223,32.520393,0
281.200880,32.517697,0
281.227536,32.514996,0
281.254190,32.512290,0
281.280843,32.509580,0
281.307496,32.506866,0
281.334146,32.504147,0
281.360796,32.501424,0
281.387444,32.498696,0
281.414091,32.495964,0
281.440737,32.493227,0
281.467381,32.490486,0
281.494024,32.487741,0
281.520666,32.484991,0
281.547307,32.482236,0
281.573946,32.479478,0
281.600584,32.476714,0
281.627221,32.473947,0
281.653856,32.471175,0
281.680490,32.468398,0
281.707123,32.465617,0
281.733755,32.462832,0
281.760385,32.460042,0
281.787014,32.457248,0
281.813642,32.454449,0
281.840268,32.451646,0
281.866893,32.448839,0
281.893517,32.446027,0
281.920139,32.443210,0
281.946760,32.440390,0
281.973380,32.437564,0
281.999998,32.434735,0
282.026616,32.431901,0
282.053231,32.429062,0
282.079846,32.426219,0
282.106459,32.423372,0
282.133071,32.420520,0
282.159682,32.417664,0
282.186291,32.414803,0
282.212899,32.411938,0
282.239505,32.409068,0
282.266110,32.406194,0
282.292714,32.403316,0
282.319317,32.400433,0
282.345918,32.397546,0
282.372518,32.394654,0
282.399116,32.391758,0
282.425714,32.388858,0
282.452309,32.385953,0
282.478904,32.383043,0
282.505497,32.380130,0
282.532089,32.377211,0
282.558679,32.374289,0
282.585268,32.371362,0
282.611856,32.368430,0
282.638442,32.365494,0
282.665027,32.362554,0
282.691611,32.359609,0
282.718193,32.356660,0
282.744774,32.353706,0
282.771353,32.350748,0
282.797931,32.347786,0
282.824508,32.344819,0
282.851083,32.341848,0
282.877657,32.338872,0
282.904230,32.335892,0
282.930801,32.332907,0
282.957371,32.329918,0
282.983939,32.326925,0
283.010507,32.323927,0
283.037072,32.320925,0
283.063636,32.317918,0
283.090199,32.314907,0
283.116761,32.311892,0
283.143321,32.308872,0
283.169879,32.305847,0
283.196437,32.302819,0
283.222993,32.299786,0
283.249547,32.296748,0
283.276100,32.293706,0
283.302652,32.290660,0
283.329202,32.287609,0
283.355751,32.284553,0
283.382298,32.281494,0
283.408844,32.278430,0
283.435389,32.275361,0
283.461932,32.272288,0
283.488474,32.269211,0
283.515014,32.266129,0
283.541553,32.263043,0
283.568090,32.259952,0
283.594626,32.256857,0
283.621161,32.253758,0
283.647694,32.250654,0
283.674225,32.247546,0
283.700756,32.244433,0
283.727284,32.241316,0
283.753812,32.238195,0
283.780338,32.235069,0
283.806862,32.231939,0
283.833385,32.228804,0
283.859907,32.225665,0
283.886427,32.222521,0
283.912946,32.219373,0
283.939463,32.216221,0
283.965978,32.213064,0
283.992493,32.209903,0
284.019006,32.206737,0
284.045517,32.203567,0
284.072027,32.200393,0
284.098535,32.197214,0
284.125042,32.194031,0
284.151548,32.190843,0
284.178052,32.187651,0
284.204554,32.184455,0
284.231055,32.181254,0
284.257555,32.178049,0
284.284053,32.174839,0
284.310550,32.171625,0
284.337045,32.168406,0
284.363538,32.165183,0
284.390030,32.161956,0
284.416521,32.158724,0
284.443010,32.155488,0
284.469498,32.152248,0
284.495984,32.149003,0
284.522469,32.145754,0
284.548952,32.142500,0
284.575434,32.139242,0
284.601914,32.135979,0
284.628392,32.132712,0
284.654870,32.129441,0
284.681345,32.126165,0
284.707819,32.122885,0
284.734292,32.119600,0
284.760763,32.116312,0
284.787233,32.113018,0
284.813701,32.109720,0
284.840167,32.106418,0
284.866632,32.103112,0
284.893096,32.099801,0
284.919558,32.096485,0
284.946018,32.093166,0
284.972477,32.089841,0
284.998935,32.086513,0
285.025390,32.083180,0
285.051845,32.079843,0
285.078297,32.076501,0
285.104749,32.073155,0
285.131198,32.069804,0
285.157647,32.066449,0
285.184093,32.063090,0
285.210538,32.059726,0
285.236982,32.056358,0
285.263424,32.052985,0
285.289864,32.049609,0
285.316303,32.046227,0
285.342740,32.042841,0
285.369176,32.039451,0
285.395610,32.036057,0
285.422043,32.032658,0
285.448474,32.029255,0
285.474903,32.025847,0
285.501331,32.022435,0
285.527757,32.019018,0
285.554182,32.015597,0
285.580605,32.012172,0
285.607027,32.008743,0
274.423799,33.080507,0
274.450715,33.078935,0
274.477629,33.077358,0
274.504543,33.075776,0
274.531456,33.074191,0
274.558369,33.072600,0
274.585280,33.071005,0
274.612191,33.069406,0
274.639101,33.067802,0
274.666010,33.066194,0
274.692919,33.064581,0
274.719827,33.062964,0
274.746734,33.061342,0
274.773640,33.059716,0
274.800545,33.058085,0
274.827450,33.056450,0
274.854354,33.054810,0
274.881257,33.053166,0
274.908159,33.051518,0
274.935061,33.049864,0
274.961962,33.048207,0
274.988862,33.046545,0
275.015761,33.044878,0
275.042659,33.043207,0
275.069557,33.041532,0
275.096454,33.039852,0
275.123350,33.038167,0
275.150245,33.036478,0
275.177140,33.034785,0
275.204033,33.033087,0
275.230926,33.031384,0
275.257818,33.029678,0
275.284709,33.027966,0
275.311600,33.026250,0
275.338489,33.024530,0
275.365378,33.022805,0
275.392266,33.021076,0
275.419153,33.019342,0
275.446040,33.017604,0
275.472925,33.015861,0
275.499810,33.014114,0
275.526694,33.012362,0
275.553577,33.010606,0
275.580459,33.008846,0
275.607340,33.007081,0
275.634221,33.005311,0
275.661100,33.003537,0
275.687979,33.001758,0
275.714857,32.999975,0
275.741734,32.998188,0
275.768611,32.996396,0
275.795486,32.994599,0
275.822361,32.992799,0
275.849234,32.990993,0
275.876107,32.989183,0
275.902979,32.987369,0
275.929851,32.985550,0
275.956721,32.983727,0
275.983590,32.981899,0
276.010459,32.980067,0
276.037327,32.978230,0
276.064194,32.976389,0
